"","x"
"384",-0.000476787053266071
"385",-0.0558938850560168
"386",-0.074429665716926
"387",0.000637807822934405
"388",-0.0462448519874258
"389",-0.0923812892296942
"390",-0.0509793411294165
"391",-0.00019902561372611
"392",-0.00969693857946591
"393",-0.0172466947356103
"394",0.0612168593265336
"395",-0.0118162626197494
"396",-0.00112161982965046
"397",0.0350134059878267
"398",-0.0582339645549695
"399",0.0154132685622857
"400",0.00164781436173656
"401",-0.0276437359482839
"402",0.0393766454229027
"403",-0.0140653943557348
"404",0.0136919234400981
"405",0.0298997624416317
"406",-0.0145369383637484
"407",0.0378446046012136
"408",0.0469447751723924
"409",-0.000613943120209444
"410",0.0352860627089698
"411",-0.0343666014047468
"412",-0.00700612320626098
"413",-0.0562645789588954
"414",0.0219474847164375
"415",0.00862680009322601
"416",0.0365234427985917
"417",0.0838112736511427
"418",-0.0132587406048836
"419",-0.0688523218624918
"420",-0.0724099079952699
"421",-0.0598840612252502
"422",0.0101121386512878
"423",-0.0214892574364996
"424",-0.0623463351264813
"425",-0.00965996677628721
"426",-0.00501896954249845
"427",0.0410898522905628
"428",-0.0181308626043137
"429",-0.0392402419639262
"430",-0.0486104099329156
"431",0.0232352166162777
"432",0.0435455086200617
"433",0.0828767911082684
"434",-0.00842436513139807
"435",-0.0363188571257058
"436",-0.0279246166767712
"437",0.022416838882093
"438",-0.00241709428146816
"439",-0.0300388702819447
"440",0.0878425713216529
"441",0.0429823030536073
"442",0.000806188886564262
"443",-0.0407484501646802
"444",0.126720478587297
"445",0.11570807368407
"446",0.156119135354799
"447",0.0511581252536394
"448",0.0890854023469533
"449",-0.045810723303423
"450",0.0740225604101432
"451",-0.0221476715633978
"452",-0.074458706124193
"453",0.0203907567710388
"454",-0.0676718061550211
"455",-0.0174163615174824
"456",0.011318159574655
"457",-0.0244747093404958
"458",-0.0197809069749242
"459",-0.0538612959245318
"460",0.023640676649484
"461",-0.00848073611961462
"462",-0.0078380240371499
"463",-0.0212814943637737
"464",-0.0371771519823161
"465",0.0312678548264513
"466",0.0340740959216636
"467",0.0466844270400147
"468",-0.0487566545522613
"469",-0.0629721494676077
"470",-0.0620936463499401
"471",-0.0527110529612807
"472",-0.0119006176790098
"473",-0.0400476671286323
"474",0.00935544981211401
"475",0.00956720038641614
"476",0.0136658234840957
"477",0.00973627898613883
"478",-0.0307002283299724
"479",-0.0237103437093709
"480",-0.057002754079982
"481",-0.0387875139222735
"482",-0.0750181640180706
"483",-0.0402429591045711
"484",-0.0167753706821116
"485",0.0167246493228259
"486",-0.0229810974270556
"487",-0.0309993239343532
"488",-0.0582837658825213
"489",-0.0413604306464159
"490",-0.00605746417384744
"491",-0.0367006692741514
"492",0.0514431537297958
"493",0.0146963541692817
"494",-0.0328859918961503
"495",0.0148956846236929
"496",-0.0226204203633041
"497",0.00454615204114443
"498",-0.0401099439163321
"499",-0.0540668828634939
"500",-0.0211624081661464
"501",-0.0069667678938513
"502",-0.031717166455817
"503",-0.0101635279087017
"504",0.0430921402389021
"505",0.00810183745710191
"506",0.024404941105605
"507",0.00107391606677469
"508",0.0606816358201878
"509",0.0123932079608226
"510",0.00822047747698621
"511",0.100619910304811
"512",-0.0409306657112209
"513",-0.068380463027293
"514",-0.0209019842335844
"515",-0.0385604271705417
"516",-0.0492409192509059
"517",-0.0541597326062351
"518",-0.0289354371607739
"519",0.0304125225921349
"520",0.00445455759111705
"521",-0.042200577095177
"522",-0.0479192950060485
"523",-0.0118499858658899
"524",-0.00659426887103767
"525",0.0379813084979183
"526",0.00465732190534933
"527",0.0300367036544113
"528",-0.00241391760805822
"529",-0.00691241969689949
"530",-0.0134910718984392
"531",0.0085738300309471
"532",0.0472651385072164
"533",0.0339456836015659
"534",0.029992075016051
"535",0.00720437862545976
"536",-0.0504859573229647
"537",-0.0337624363716626
"538",0.230478010500496
"539",0.0593043197746967
"540",0.0105009941957172
"541",-0.0174431574013658
"542",-0.0150560054525682
"543",0.0250775929226523
"544",-0.0122807307346017
"545",-0.0652443016093198
"546",-0.0575742531874125
"547",0.0154516339577426
"548",-0.0882289175469128
"549",0.0264159373206038
"550",0.0199183032053438
"551",0.0477102458163001
"552",0.151885778740898
"553",-0.0956412365727412
"554",-0.0262240314665853
"555",0.0186431564202393
"556",0.0965311463779495
"557",-0.0363370053721411
"558",-0.0149303192555039
"559",0.000163550340922696
"560",-0.0244111476796182
"561",-0.0736500456999218
"562",0.0129049562303583
"563",-0.0522263013467576
"564",-0.061152944895806
"565",-0.0509729735106408
"566",-0.0115469042129479
"567",0.0198643618166044
"568",-0.036038243267715
"569",0.0110958974744008
"570",0.0338051904139105
"571",0.111449100591288
"572",-0.000490589069551701
"573",0.0170888487229742
"574",-0.0346326348227532
"575",-0.0654707435639577
"576",-0.0891244898951947
"577",-0.0470356193965243
"578",-0.0179726372772621
"579",-0.0864512368341078
"580",-0.00056140767784434
"581",0.0510527631621445
"582",-0.007901049498734
"583",0.0091637530905911
"584",0.0439228505705003
"585",0.0597604623045408
"586",0.147657097471954
"587",-0.050191780694381
"588",-0.056282275955173
"589",-0.0338676975257904
"590",-0.0402672101622239
"591",0.0243985175093575
"592",-0.0608380957786212
"593",0.00342629743293105
"594",0.0594096796741613
"595",-0.00610542448510913
"596",0.0537625616196507
"597",-0.0145777472934173
"598",0.0165355291808948
"599",0.089656818602992
"600",-0.00193540808559097
"601",-0.00945794642911151
"602",0.00719818851859402
"603",0.0114175674833649
"604",-0.016489108279189
"605",0.036271268959841
"606",-0.0193659715071008
"607",-0.0048806137849987
"608",-0.0865832892900118
"609",-0.0033910019537754
"610",0.0196368196590547
"611",0.0149490255362158
"612",-0.0116194495670284
"613",0.00186479161491553
"614",-0.0523507853361938
"615",0.0766024453832484
"616",0.0593910737646783
"617",-0.036610229942412
"618",-0.0494658664029856
"619",-0.0573095064991927
"620",-0.0478953814813539
"621",-0.046755052655828
"622",-0.0301022693340201
"623",-0.0350708014232379
"624",0.0306667299821778
"625",-0.00171784914915905
"626",-0.054888558191373
"627",0.0157501339423517
"628",0.0125609264356367
"629",-0.0867264257191219
"630",-0.0360637426232632
"631",-0.00319345007413984
"632",-0.013890484413746
"633",0.0108652099051203
"634",-0.0205068449943448
"635",0.192565048376926
"636",-0.0209691805487204
"637",-0.0564617504772654
"638",-0.134476510252581
"639",-0.0304156503399244
"640",-0.00573111723307953
"641",-0.0347782591063262
"642",-0.0335759700164703
"643",0.0157973718444105
"644",0.0382703014587656
"645",-0.0333279401857918
"646",0.0702592102922834
"647",-0.0123903551948943
"648",-0.0331430087875366
"649",-0.00911626705185296
"650",-0.00490425895238105
"651",-0.00273149064241273
"652",-0.0150622280211309
"653",0.0347665016600339
"654",-0.018391187821854
"655",-0.0029244654466925
"656",0.0154908068799927
"657",0.0280539867693355
"658",0.0304671445937684
"659",0.0134331168347848
"660",-0.000374894584675559
"661",-0.0173098536582371
"662",0.0223874423014543
"663",-0.0111371157353403
"664",-0.0162576598478103
"665",-0.040014472431199
"666",-0.0176005309712522
"667",0.000259934294255514
"668",-0.00569676191566042
"669",0.0398004921702727
"670",-0.0229425553633262
"671",0.0206372295171579
"672",0.00605927271288139
"673",-0.0175204733511494
"674",-0.0184388785935585
"675",0.00300180076201671
"676",-0.0341327892828392
"677",0.0232575987605285
"678",-0.0609012415287304
"679",0.12910549337255
"680",0.0499958018473337
"681",-0.0248989663233461
"682",-0.0777136523429625
"683",0.0221823006644735
"684",0.0780636035267711
"685",-0.0172013415929388
"686",0.0526849267739286
"687",0.0165911254653864
"688",0.0964330209955788
"689",0.197861420282771
"690",-0.170184279518514
"691",-0.0439655875565572
"692",-0.0790354705772685
"693",-0.0190524477686357
"694",-0.0359838625796436
"695",0.0215254560236637
"696",0.0268533791118769
"697",-0.0891458606386351
"698",0.062147397618578
"699",0.0161654300963425
